1971;4a9e
05b5;01cf
133c;6d95
1373;f704
03aa;8b09
193b;fff7
165b;b28a
0642;8c27
19b5;ad2c
1982;1a02
143a;3b45
1c9e;ecb0
1d6b;6fb3
1188;9d88
0084;98ac
1c4e;45af
1dbc;91e1
15e9;41b2
1e41;3fcf
1d7e;58dd
0973;a6d8
16b4;9576
0947;8aa3
0c9e;9bbe
1579;412e
1b76;eff6
05e1;bbb4
024e;b9b7
0d92;5445
0634;ea44
1e73;883c
03e9;5034
03d8;4c56
1d05;006f
18da;2842
1f88;482e
0839;a09b
07dd;d70a
139f;a2d2
1c3a;0554
14d9;9d90
01cd;7ef0
0dec;4011
1774;be53
0995;9c33
0b23;dcb7
06a8;d4e3
0a67;b345
1c7a;e5a9
0845;d5e5
128f;99dc
1911;4ca9
1225;36e6
11d5;58f4
10a5;926f
04c6;7a3d
0e9c;dff8
0cfb;e6e2
1dce;66e6
1cb6;276b
0b4d;5849
074d;c26b
16d7;1ba1
171d;6089
164b;7f6f
0ddd;b224
0151;6c5b
134f;128a
020a;9c39
16ed;b4c9
0674;f4f9
0744;06a4
1a3b;a273
0fbc;df42
0227;8750
1960;1d68
1f87;97b1
03a9;2cb7
0f51;870e
123c;b7bf
0a38;2973
07b0;f9ef
1521;5c72
1510;1368
034e;ad8d
009a;d9a9
1d09;4557
1fa1;4a6a
0fba;6c11
171c;2261
0c67;31d9
0534;caf0
067e;33e5
0645;6254
030c;9466
0b47;cd60
0523;326c
132c;0089
010d;6f9b
0d1b;624d
1147;740d
1eed;7769
18e5;ec33
1974;5177
0da6;0ee6
1be4;b98f
1f35;8eaf
1575;c903
0190;c09d
177c;2d74
081c;4bd4
0533;e23a
17c3;5985
1be1;4899
04f5;0987
1983;828d
01c0;af2a
0b09;ad7b
0124;65ab
0117;f2a3
166a;d801
1a5a;8ef2
0fa1;a2ff
065a;22fc
16b6;b0c8
0cbd;e954
17b2;837b
1aa4;14b1
1459;a947
126e;d92e
1cb9;444e
11ff;2ec4
1c2d;c93b
07f5;6647
1bd2;118b
13cf;214c
1f27;97a3
0bcb;bbfe
0959;4091
12a7;72ba
1121;e7cb
1eda;5556
1251;d1ef
005a;a3f3
0962;9427
1dfe;d7e5
1ea6;ceeb
0ab9;381b
1442;35f5
1bf2;ca17
0f62;63d2
14a4;fa99
100a;1837
0de1;e53e
12b9;dec5
1758;de1b
01e6;e85e
1b71;c04e
158c;15e1
1d00;bb10
06ea;cb78
18a5;e439
0ef3;f3ea
1155;4b15
15d9;e82d
014a;21e0
0d77;73d3
13c3;a89e
13a3;59e0
1b16;fb5c
0747;f7d4
1403;99f4
1a04;9acd
0ad6;828a
0ef2;da05
04fd;182c
0413;c254
0426;bd67
0cb7;b1f2
09a2;b339
08ed;2f4f
1c70;135b
0a45;793d
049d;4f7f
1c81;e461
1546;7b7d
16c1;2e52
1cd8;e60f
0eef;a81a
1009;5aad
1a2c;afaa
